"course","event","occurrences"
"http://namespacetopic.org/course_COMP_6721","http://namespacetopic.org/COMP_6721_Lecture_2","3"
"http://namespacetopic.org/course_COMP_6721","http://namespacetopic.org/COMP_6721_Lecture_3","3"
"http://namespacetopic.org/course_COMP_6721","http://namespacetopic.org/COMP_6721_lab_1","3"
"http://namespacetopic.org/course_COMP_6721","http://namespacetopic.org/COMP_6721_lab_2","3"
"http://namespacetopic.org/course_COMP_6721","http://namespacetopic.org/COMP_6721_lab_3","3"
"http://namespacetopic.org/course_COMP_6721","http://namespacetopic.org/COMP_6721_lecture_1","3"
"http://namespacetopic.org/course_COMP_474","http://namespacetopic.org/COMP_474_lab_1","2"
"http://namespacetopic.org/course_COMP_474","http://namespacetopic.org/COMP_474_lab_2","2"
"http://namespacetopic.org/course_COMP_474","http://namespacetopic.org/COMP_474_lab_3","2"
"http://namespacetopic.org/course_COMP_474","http://namespacetopic.org/COMP_474_lecture_1","2"
"http://namespacetopic.org/course_COMP_474","http://namespacetopic.org/COMP_474_lecture_2","2"
"http://namespacetopic.org/course_COMP_474","http://namespacetopic.org/COMP_474_lecture_3","2"